"Année","Groupe de produits","Produit","Prix moyen TVA incl."
"2017","Gasoil Diesel routier","Diesel B30 (€/L)",
"2017","Gasoil Diesel routier","Diesel XTL (€/L)",
"2017","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.567
"2017","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.594
"2017","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2017","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2017","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2017","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.491
"2018","Essences","Essence 95 RON E5 (€/L)",1.469
"2018","Essences","Essence 95 RON E10 (€/L)",1.478
"2018","Essences","Essence 98 RON E5 (€/L)",1.551
"2018","Essences","Essence 98 RON E10 (€/L)",1.559
"2018","Gasoil Diesel routier","Diesel B7 (€/L)",1.504
"2018","Gasoil Diesel routier","Diesel B10 (€/L)",1.579
"2018","Gasoil Diesel routier","Diesel B20 (€/L)",1.597
"2018","Gasoil Diesel routier","Diesel B30 (€/L)",1.635
"2018","Gasoil Diesel routier","Diesel XTL (€/L)",1.999
"2018","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.683
"2018","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.71
"2018","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2018","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2018","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2018","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.548
"2019","Essences","Essence 95 RON E5 (€/L)",1.457
"2019","Essences","Essence 95 RON E10 (€/L)",1.473
"2019","Essences","Essence 98 RON E5 (€/L)",1.531
"2019","Essences","Essence 98 RON E10 (€/L)",1.54
"2019","Gasoil Diesel routier","Diesel B7 (€/L)",1.522
"2019","Gasoil Diesel routier","Diesel B10 (€/L)",1.531
"2019","Gasoil Diesel routier","Diesel B20 (€/L)",1.545
"2019","Gasoil Diesel routier","Diesel B30 (€/L)",1.576
"2019","Gasoil Diesel routier","Diesel XTL (€/L)",2.007
"2019","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.673
"2019","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.702
"2019","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2019","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2019","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2019","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.51
"2020","Essences","Essence 95 RON E5 (€/L)",1.389
"2020","Essences","Essence 95 RON E10 (€/L)",1.349
"2020","Essences","Essence 98 RON E5 (€/L)",1.417
"2020","Essences","Essence 98 RON E10 (€/L)",1.386
"2020","Gasoil Diesel routier","Diesel B7 (€/L)",1.368
"2020","Gasoil Diesel routier","Diesel B10 (€/L)",1.344
"2020","Gasoil Diesel routier","Diesel B20 (€/L)",1.369
"2020","Gasoil Diesel routier","Diesel B30 (€/L)",1.419
"2020","Gasoil Diesel routier","Diesel XTL (€/L)",2.25
"2020","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.464
"2020","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.493
"2020","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2020","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2020","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2020","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.468
"2021","Essences","Essence 95 RON E5 (€/L)",1.606
"2021","Essences","Essence 95 RON E10 (€/L)",1.562
"2021","Essences","Essence 98 RON E5 (€/L)",1.636
"2021","Essences","Essence 98 RON E10 (€/L)",1.608
"2021","Gasoil Diesel routier","Diesel B7 (€/L)",1.573
"2021","Gasoil Diesel routier","Diesel B10 (€/L)",1.562
"2021","Gasoil Diesel routier","Diesel B20 (€/L)",1.611
"2021","Gasoil Diesel routier","Diesel B30 (€/L)",1.709
"2021","Gasoil Diesel routier","Diesel XTL (€/L)",2.545
"2021","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.653
"2021","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.682
